UTME,UTMN,Elevation,M,T,F,R,,,
308838.59,5326586.12,422.2,-1.11E-02,-6.46E-04,1.02E+00,-2.18E+00,,,
308707.44,5326647.54,422.11,-1.28E-02,-7.47E-04,1.02E+00,-1.96E+00,,,
308768.76,5326783.05,436.43,-1.22E-02,-7.03E-04,1.03E+00,-2.95E+00,,,
308834.59,5326916.81,401.25,-1.20E-02,-6.96E-04,1.02E+00,-2.22E+00,,,
308758.7,5327117.38,335.68,-1.63E-02,-9.69E-04,9.99E-01,1.38E-01,,,
308702.2,5326982.29,416.07,-1.62E-02,-9.23E-04,1.04E+00,-4.17E+00,,,
308638.87,5326843.77,418.26,-1.69E-02,-9.63E-04,1.04E+00,-4.05E+00,,,
308575.39,5326708.6,412.49,-1.73E-02,-1.01E-03,1.01E+00,-1.50E+00,,,
308435.02,5326777.31,415.04,-4.07E-02,-2.71E-03,8.91E-01,1.09E+01,,,
308495.86,5326906.28,428.55,-4.45E-02,-2.38E-03,1.11E+00,-1.08E+01,,,
308560.84,5327040.49,398,-3.86E-02,-2.20E-03,1.04E+00,-4.19E+00,,,
308624.43,5327179.03,355.65,-3.57E-02,-2.05E-03,1.03E+00,-3.32E+00,,,
308487.68,5327237.45,342.86,2.95E-02,1.95E-03,8.99E-01,1.01E+01,,,
308426.36,5327107.69,375.51,2.93E-02,1.94E-03,8.96E-01,1.04E+01,,,
308359.31,5326975.5,389.65,2.62E-02,1.55E-03,1.00E+00,-4.57E-02,,,
308299.48,5326838.87,417.72,2.66E-02,1.61E-03,9.78E-01,2.24E+00,,,
308163.13,5326894.49,405.71,7.86E-03,4.63E-04,1.01E+00,-6.87E-01,,,
308227.16,5327031.08,387.8,8.15E-03,4.88E-04,9.90E-01,9.75E-01,,,
308286.41,5327168.39,379.23,8.35E-03,4.89E-04,1.01E+00,-1.22E+00,,,
308348.97,5327301.61,350.08,8.02E-03,4.75E-04,1.00E+00,-7.50E-02,,,
308215.85,5327364.8,366.8,3.92E-03,2.31E-04,1.01E+00,-7.31E-01,,,
308152.45,5327227.63,391.56,4.06E-03,2.40E-04,1.00E+00,-4.75E-01,,,
308094.75,5327099.05,393.61,4.10E-03,2.40E-04,1.01E+00,-1.07E+00,,,
308027.74,5326959.6,398.4,3.83E-03,2.26E-04,1.00E+00,-2.63E-01,,,
307965.15,5326822.79,399.66,3.45E-03,2.05E-04,9.99E-01,1.05E-01,,,
308097.66,5326762.61,383.29,6.80E-03,4.00E-04,1.01E+00,-8.97E-01,,,
308235.9,5326701.54,381.63,2.20E-02,1.36E-03,9.57E-01,4.27E+00,,,
308373.42,5326637.24,392.08,-4.34E-02,-2.48E-03,1.04E+00,-3.93E+00,,,
308647.16,5326518.89,383.83,-1.46E-02,-8.51E-04,1.02E+00,-1.54E+00,,,
308786.1,5326435.01,390.94,-1.28E-02,-7.49E-04,1.01E+00,-1.25E+00,,,
308449.38,5326436.33,320.28,-2.76E-02,-1.63E-03,1.00E+00,-4.12E-01,,,
308309.66,5326498.29,331.22,-8.92E-02,-5.86E-03,9.04E-01,9.64E+00,,,
308926.72,5326379.66,355.69,-1.20E-02,-7.06E-04,1.01E+00,-9.15E-01,,,
308857.61,5326244.85,321.22,-1.65E-02,-9.78E-04,1.00E+00,-3.43E-01,,,
308513.73,5326567.69,399.84,-1.93E-02,-1.10E-03,1.04E+00,-4.11E+00,,,
308576.04,5326368.87,330.28,-2.05E-02,-1.21E-03,1.01E+00,-7.50E-01,,,
308401.77,5326310.14,303.89,-6.29E-02,-3.78E-03,9.87E-01,1.33E+00,,,
308174.52,5326562.45,306.93,1.38E-02,9.06E-04,9.04E-01,9.59E+00,,,
308034.9,5326629.72,329.97,5.29E-03,3.17E-04,9.90E-01,1.03E+00,,,
308855.76,5326246.53,323.19,-1.66E-02,-9.76E-04,1.01E+00,-6.48E-01,,,
